geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
jam;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.77;;;;5.64;;;;2.48;;;;;3.75;2.27;;;;2.36;;;;3.8462;4.0491;2.5128;2.9805;3.6385;3.6914
jpn;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;0.9;0.4;0.4;0.9;0.9;0.8;0.8;1.2;1.6;1.6;1.5;1.5;1.4;1.7;1.7;1.7;1.7;1.7;1.3;1.3;1.2;0.9;0.8;1.0;1.0;1.0;1.4;1.3;1.5;1.5;2.1;2.2;2.2;2.4;2.3;2.5;2.0;2.0;2.1;1.8;2.1;2.6;2.4;2.162;2.3;2.3;2.2;2.0;1.9;1.8
kaz;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;;;;;;;;;;;;;;;
ken;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2416;;;;;;;;;;;;;;;;;;
kgz;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.47;;0.62;0.88;1.31;;;0.31;1.08;0.94;0.43;3.64;1.44;2.21;1.18;
khm;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.86;;;;;;;;;;1.03;;;;0.9109;;;;;
kna;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.89;;;;;;;;;;;2.11;;;;;;;;;;1.15;;;;;;;;;;;;;;;;
kor;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.556;0.38299999999999995;0.247;0.605;0.364;0.22699999999999998;0.316;0.285;0.27399999999999997;0.172;0.162;0.0;0.0;0.155;0.14400000000000002;0.135;0.251;0.461;1.6569999999999998;0.97;0.6;0.5;0.5;0.4;0.7;0.7;0.7;0.7;0.8;1.2;2.4;2.2;2.1;1.5;2.0;2.4;2.3;2.8
kos;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.09;
kwt;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;
lao;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7123;;;;;;;
